scheme_code,cagr,sharpe_ratio,sortino_ratio,max_drawdown,cagr_rank,sharpe_rank,sortino_rank,drawdown_rank,fund_score
119092,0.5114099298659758,0.2658237663538334,647.3414194549943,-0.013923580128646473,1.0,3.0,2.0,1.0,1.7999999999999998
120841,0.16808380687192082,0.6873558271304809,0.7992287193499984,-0.33429874666118753,2.0,1.0,3.0,2.0,1.9000000000000001
118632,0.15107897109040236,0.5591242047344356,0.6928591701866187,-0.3996075381332732,4.0,2.0,4.0,4.0,3.4
119551,0.0015046606363424697,-0.6832021471337055,-0.38723039939568055,-0.36651701755201316,5.0,4.0,5.0,3.0,4.4
120503,0.1547885804419158,,inf,-1.0,3.0,,1.0,5.0,
