date,nav,scheme_code,daily_return
2013-01-02,14.6967,118632,
2013-01-03,14.7305,118632,0.0022998360176094135
2013-01-04,14.8037,118632,0.0049692814228980975
2013-01-07,14.7718,118632,-0.0021548666887331036
2013-01-08,14.7197,118632,-0.003526990617257253
2013-01-09,14.7249,118632,0.0003532680693221213
2013-01-10,14.6784,118632,-0.003157916182792375
2013-01-11,14.6421,118632,-0.002473021582733881
2013-01-14,14.7844,118632,0.009718551300701428
2013-01-15,14.8315,118632,0.0031857904277481364
2013-01-16,14.6876,118632,-0.009702322758992743
2013-01-17,14.7703,118632,0.005630599961872651
2013-01-18,14.8654,118632,0.006438596372450034
2013-01-21,14.9285,118632,0.004244756279683015
2013-01-22,14.8574,118632,-0.004762702213886194
2013-01-23,14.7986,118632,-0.003957623810357136
2013-01-24,14.6226,118632,-0.011893016907004728
2013-01-25,14.7605,118632,0.009430607415917835
2013-01-28,14.7737,118632,0.000894278649097302
2013-01-29,14.681,118632,-0.006274663760601706
2013-01-30,14.6583,118632,-0.0015462161978065936
2013-01-31,14.6179,118632,-0.0027561176944120858
2013-02-01,14.5671,118632,-0.0034751913749581087
2013-02-04,14.5479,118632,-0.0013180385938175165
2013-02-05,14.4313,118632,-0.008014902494518084
2013-02-06,14.4775,118632,0.003201374789519873
2013-02-07,14.4048,118632,-0.005021585218442315
2013-02-08,14.3212,118632,-0.005803621015217142
2013-02-11,14.2908,118632,-0.002122727145769776
2013-02-12,14.3298,118632,0.00272902846586609
2013-02-13,14.3617,118632,0.0022261301623192065
2013-02-14,14.1541,118632,-0.014455113252609397
2013-02-15,14.1364,118632,-0.0012505210504376585
2013-02-18,14.1843,118632,0.003388415721117033
2013-02-19,14.2926,118632,0.0076352023011356795
2013-02-20,14.2782,118632,-0.0010075143780697848
2013-02-21,14.0679,118632,-0.014728747321090863
2013-02-22,14.0985,118632,0.0021751647367411753
2013-02-25,14.0828,118632,-0.0011135936447138617
2013-02-26,13.8873,118632,-0.013882182520521535
